StudentNo,100136499
System,basic
QueryNo,Rank,URL
2,0.010885278580099763,portal.uea.ac.uk/web/hub/library/non-book-media
2,0.010754157253115577,portal.uea.ac.uk/library/research-support/open-access/faqs
2,0.010754157253115577,portal.uea.ac.uk/ren/open-access-and-research-data/help
2,0.010754157253115577,portal.uea.ac.uk/en/rin/open-access-and-research-data/help
2,0.010708199316136452,portal.uea.ac.uk/equality/networks/access-all-areas
2,0.010708199316136452,portal.uea.ac.uk/en/equality/networks/access-all-areas
2,0.010656908406999267,portal.uea.ac.uk/library/study-space/binding
2,0.010511866479675482,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/isd-strategy-2014-19/library-resources
2,0.010511866479675482,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/isd-strategy-2014-19/library-resources
2,0.01050610778966041,portal.uea.ac.uk/web/hub/information-services/comments/library
2,0.01050610778966041,portal.uea.ac.uk/information-services/comments/library
3,0.03570848787019476,portal.uea.ac.uk/academic-calendar/semester-dates
3,0.031058490444503446,portal.uea.ac.uk/web/about/key-dates/semester-dates
3,0.02093277289573105,portal.uea.ac.uk/committee-office/semester-dates
3,0.02093277289573105,portal.uea.ac.uk/en/committee-office/semester-dates
3,0.019623189252640175,portal.uea.ac.uk/committee-office/deadline-for-committee-meetings
3,0.019623189252640175,portal.uea.ac.uk/en/committee-office/deadline-for-committee-meetings
3,0.01911341171612748,portal.uea.ac.uk/nursery/dates-and-opening-times
3,0.01911341171612748,portal.uea.ac.uk/en/nursery/dates-and-opening-times
3,0.014128444060173441,portal.uea.ac.uk/csed/qualifications/teaching-skills
3,0.014128444060173441,portal.uea.ac.uk/en/csed/qualifications/teaching-skills
3,0.0121391263714282,portal.uea.ac.uk/en/accommodation/summer/application-form
3,0.0121391263714282,portal.uea.ac.uk/accommodation/summer/application-form
3,0.011779047293382819,portal.uea.ac.uk/committee-office/semester-dates/archived-dates
3,0.011779047293382819,portal.uea.ac.uk/en/committee-office/semester-dates/archived-dates
3,0.010825150010645275,portal.uea.ac.uk/committee-office/almanac/almanac-amendments
3,0.010825150010645275,portal.uea.ac.uk/en/committee-office/almanac/almanac-amendments
3,0.009893020099806322,portal.uea.ac.uk/accommodation/key-dates
3,0.009893020099806322,portal.uea.ac.uk/en/accommodation/key-dates
3,0.009689383161866134,portal.uea.ac.uk/committee-office/uea-committees-and-boards/senate
3,0.009689383161866134,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/senate
3,0.009099907778121004,portal.uea.ac.uk/web/about/key-dates
3,0.009016100531503056,portal.uea.ac.uk/en/planningoffice/slc/year-abroad-form
3,0.009016100531503056,portal.uea.ac.uk/planningoffice/slc/year-abroad-form
3,0.008974544062010927,portal.uea.ac.uk//csed/learning-and-teaching1/uea-writing-cafe
3,0.008974544062010927,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe
3,0.008974544062010927,portal.uea.ac.uk/en/csed/learning-and-teaching1/uea-writing-cafe
3,0.008604459770793983,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe-platform-hootsuite
3,0.008604459770793983,portal.uea.ac.uk/en/csed/learning-and-teaching1/uea-writing-cafe-platform-hootsuite
3,0.008489656982883122,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee
3,0.008489656982883122,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee
3,0.008281793614386091,portal.uea.ac.uk/committee-office/uea-committees-and-boards/widening-participation-committee/widening-participation-committee-2017-2018
3,0.008281793614386091,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/widening-participation-committee/widening-participation-committee-2017-2018
3,0.00804970564515474,portal.uea.ac.uk/web/hub/committee-office/uea-committees-and-boards/student-experience-committee
3,0.00804970564515474,portal.uea.ac.uk/committee-office/uea-committees-and-boards/student-experience-committee
3,0.007818199381167979,portal.uea.ac.uk/en/rin/apply-for-funding/internal-peer-review/mrc
3,0.007818199381167979,portal.uea.ac.uk/rin/apply-for-funding/internal-peer-review/mrc
3,0.007378864860676309,portal.uea.ac.uk/committee-office/uea-committees-and-boards/council/council-membership
3,0.007378864860676309,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/council/council-membership
3,0.00725826310868125,portal.uea.ac.uk/partnerships-office/events/partnerships-conference-2018
3,0.006677679385393982,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-ed-
3,0.006539991597513653,portal.uea.ac.uk/rin/apply-for-funding/internal-peer-review/esrc
3,0.006539991597513653,portal.uea.ac.uk/en/rin/apply-for-funding/internal-peer-review/esrc
3,0.006156807935548242,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-pd-
3,0.006098513880284985,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-lm-
