StudentNo,100136499
System,relfbk
QueryNo,Rank,URL
3,70,portal.uea.ac.uk/procurement/news
3,71,portal.uea.ac.uk/en/procurement/news
3,72,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-lts2-
3,73,portal.uea.ac.uk/committee-office/uea-committees-and-boards/senate/senate-membership
3,74,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/senate/senate-membership
3,75,portal.uea.ac.uk/csed/csed-programme-2017-18/research-3
3,76,portal.uea.ac.uk/csed/csed-programme-2017-18/it-communications-technology-3
3,77,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_snapshot_application
3,78,portal.uea.ac.uk/csed/csed-programme-2017-18/learning-teaching-supervision-2
3,79,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2017-2018
3,80,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2017-2018
3,81,portal.uea.ac.uk/en/uea-retirement-association/events/games-afternoons
3,82,portal.uea.ac.uk/web/hub/uea-retirement-association/events/games-afternoons
3,83,portal.uea.ac.uk/uea-retirement-association/events/games-afternoons
3,84,portal.uea.ac.uk/new-students/postgraduate-researchers/international-students
3,85,portal.uea.ac.uk/csed/csed-programme-2017-18/booking-form-rs2-
3,86,portal.uea.ac.uk/en/vco/intranet/blog
3,87,portal.uea.ac.uk/vco/intranet/blog
3,88,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days/learning-teaching-day-2018
3,89,portal.uea.ac.uk/web/hub/library/borrowing/entitlements
3,90,portal.uea.ac.uk/library/borrowing/entitlements
3,91,portal.uea.ac.uk/committee-office/uea-committees-and-boards/information-strategy-and-services-committee/information-strategy-and-services-committee-2017-2018
3,92,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/information-strategy-and-services-committee/information-strategy-and-services-committee-2017-2018
3,93,portal.uea.ac.uk/csed/resources/labyrinth
3,94,portal.uea.ac.uk/en/csed/resources/labyrinth
3,95,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_library_loan
3,96,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/member-dim_member-
3,97,portal.uea.ac.uk/en/accommodation/visiting-students/september-entry
3,98,portal.uea.ac.uk/accommodation/visiting-students/september-entry
3,99,portal.uea.ac.uk/committee-office/uea-committees-and-boards/information-strategy-and-services-committee/archived-meeting-dates
3,100,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/information-strategy-and-services-committee/archived-meeting-dates
4,1,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-membership
4,2,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-membership
4,3,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days
4,4,portal.uea.ac.uk/learning-and-teaching/staff/new-staff/academic-roles
4,5,portal.uea.ac.uk/learning-and-teaching/staff/teaching/learning-teaching-day
4,6,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee
4,7,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee
4,8,portal.uea.ac.uk/committee-office/uea-committees-and-boards
4,9,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards
4,10,portal.uea.ac.uk/learning-and-teaching/learning-and-teaching-strategies
4,11,portal.uea.ac.uk/learning-and-teaching/staff/teaching/innovation
4,12,portal.uea.ac.uk/learning-and-teaching/docs/learning-and-teaching
4,13,portal.uea.ac.uk/learning-and-teaching/staff/teaching
4,14,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee
4,15,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee
4,16,portal.uea.ac.uk/learning-and-teaching/staff/teaching/newsletter
4,17,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days/learning-teaching-day-2018
4,18,portal.uea.ac.uk/web/hub/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-membership
4,19,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-membership
4,20,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-membership
4,21,portal.uea.ac.uk/committee-office/uea-standing-orders-and-terms-of-reference
4,22,portal.uea.ac.uk/en/committee-office/uea-standing-orders-and-terms-of-reference
4,23,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-2017-2018
4,24,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-2017-2018
4,25,portal.uea.ac.uk/learning-and-teaching/staff/new-staff/committees
4,26,portal.uea.ac.uk/en/csed/learning-and-teaching1
4,27,portal.uea.ac.uk/csed/learning-and-teaching1
4,28,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-2013-2014
4,29,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-2013-2014
4,30,portal.uea.ac.uk/committee-office/uea-committees-and-boards/information-strategy-and-services-committee
4,31,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/information-strategy-and-services-committee
4,32,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2009-2010
4,33,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2009-2010
4,34,portal.uea.ac.uk/ongoing-management-and-due-diligence-processes/joint-board-of-study-and-joint-committee
4,35,portal.uea.ac.uk/csed/learning-and-teaching-day
4,36,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-2011-2012
4,37,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-2011-2012
4,38,portal.uea.ac.uk/learning-and-teaching/staff/course-modules/course-update/
4,39,portal.uea.ac.uk/learning-and-teaching/staff/course-modules/course-update
4,40,portal.uea.ac.uk/learning-and-teaching/staff/teaching/teaching-fellowships
4,41,portal.uea.ac.uk/web/about/corporate-social-responsibility/equality-diversity
4,42,portal.uea.ac.uk/web/about/visiting-staying/tourist-information/art-culture
4,43,portal.uea.ac.uk/committee-office/uea-committees-and-boards/biohazards-and-gm-committee
4,44,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/biohazards-and-gm-committee
4,45,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2013-2014
4,46,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2013-2014
4,47,portal.uea.ac.uk/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2016-2017
4,48,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/equality-and-diversity-committee/equality-and-diversity-committee-2016-2017
4,49,portal.uea.ac.uk/web/hub/committee-office/uea-committees-and-boards/information-strategy-and-services-committee/information-strategy-and-services-committee-membership
